1;6
2;11
3;6
4;11
5;8
6;9
7;5
8;11
9;11
10;15
11;9
12;12
13;11
14;4
15;9
16;9
17;12
18;2
19;1
20;12
21;1
22;13
23;2
24;11
25;13
26;14
27;15
28;5
29;1
30;11
31;8
32;13
33;7
34;11
35;11
36;2
37;4
38;1
39;14
40;6
41;16
42;15
43;8
44;14
45;13
46;10
47;9
48;3
49;14
50;8
51;12
52;9
53;8
54;12
55;14
56;1
57;16
58;6
59;3
60;4
61;7
62;6
63;8
64;7
65;11
66;3
67;1
68;3
69;14
70;2
71;8
72;6
73;14
74;12
75;16
76;12
77;13
78;2
79;7
80;8
81;14
82;8
83;8
84;16
85;6
86;12
87;16
88;16
89;2
90;13
91;4
92;11
93;13
94;8
95;13
96;13
97;1
98;7
99;5
100;9
101;6
102;15
103;16
104;9
105;1
106;10
107;7
108;13
109;13
110;3
111;1
112;9
113;15
114;14
115;1
116;4
117;10
118;2
119;5
120;15
121;2
122;11
123;16
124;3
125;16
126;1
127;5
128;9
129;6
130;1
131;4
132;14
133;12
134;2
135;15
136;13
137;14
138;14
139;8
140;14
141;10
142;6
143;7
144;13
145;8
146;7
147;8
148;9
149;3
150;6
151;14
152;3
153;14
154;2
155;13
156;6
157;3
158;12
159;5
160;2
161;12
162;1
163;13
164;6
165;14
166;4
167;16
168;3
169;16
170;9
171;11
172;7
173;7
174;12
175;8
176;15
177;14
178;5
179;7
180;4
181;16
182;5
183;8
184;4
185;9
186;7
187;15
188;5
189;10
190;4
191;3
192;9
193;2
194;1
195;14
196;4
197;15
198;9
199;6
200;10
201;9
202;5
203;14
204;7
205;1
206;6
207;9
208;2
209;7
210;1
211;10
212;1
213;8
214;3
215;10
216;13
217;10
218;7
219;6
220;12
221;6
222;11
223;2
224;16
225;7
226;13
227;10
228;4
229;1
230;7
231;8
232;10
233;16
234;14
235;14
236;10
237;15
238;3
239;2
240;14
241;2
242;5
243;2
244;12
245;2
246;9
247;5
248;6
249;4
250;1
251;13
252;1
253;1
254;15
255;12
256;15
257;16
258;11
259;2
260;15
261;6
262;8
263;15
264;10
265;5
266;4
267;13
268;2
269;8
270;13
271;1
272;7
273;8
274;6
275;11
276;5
277;11
278;12
279;15
280;3
281;10
282;7
283;13
284;12
285;14
286;16
287;1
288;16
289;13
290;9
291;15
292;1
293;15
294;16
295;6
296;14
297;4
298;14
299;16
300;2
301;11
302;10
303;1
304;3
305;13
306;10
307;16
308;5
309;8
310;10
311;9
312;14
313;11
314;2
315;8
316;10
317;5
318;1
319;14
320;13
321;13
322;15
323;15
324;5
325;2
326;2
327;1
328;3
329;1
330;2
331;10
332;5
333;12
334;11
335;5
336;6
337;9
338;14
339;16
340;13
341;4
342;16
343;3
344;3
345;8
346;4
347;16
348;8
349;2
350;14
351;11
352;10
353;9
354;3
355;2
356;3
357;4
358;4
359;8
360;1
361;15
362;10
363;12
364;13
365;5
366;7
367;14
368;7
369;14
370;3
371;1
372;15
373;3
374;14
375;1
376;9
377;8
378;12
379;7
380;9
381;10
382;10
383;15
384;12
385;5
386;16
387;10
388;5
389;15
390;14
391;8
392;3
393;6
394;14
395;1
396;7
397;14
398;12
399;9
400;6
401;7
402;2
403;7
404;5
405;16
406;10
407;6
408;10
409;3
410;5
411;12
412;6
413;5
414;9
415;11
416;9
417;1
418;7
419;8
420;15
421;9
422;14
